tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***18146,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0001,,1245 DUPONT ST,,,ON
***18147,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0003,,1245 DUPONT ST,,,ON
***10653,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0004,AT,2957 LAWRENCE AVE E,,,ON
***18148,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0005,,1245 DUPONT ST,,,ON
***57592,20100101,29,PARK PROHIBITED TIME NO PERMIT,30,0005,NR,36 PHOEBE ST,,,ON
***18149,20100101,3,PARK/LEAVE ON PRIVATE PROPERTY,30,0007,,1245 DUPONT ST,,,ON
***57593,20100101,29,PARK PROHIBITED TIME NO PERMIT,30,0007,NR,30 PHOEBE ST,,,ON
***57594,20100101,29,PARK PROHIBITED TIME NO PERMIT,30,0007,NR,30 PHOEBE ST,,,ON
***53738,20100101,5,PARK-HWY PROHIB TIMES/DAYS,40,0007,NR,33 KING ST,,,ON
***68100,20100101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0007,NR,832 DUNDAS ST W,,,ON
***69901,20100101,8,STD VEH HWY PROHIB TIME/DAY,60,0007,NR,159 NIAGARA ST,,,ON
***95815,20100101,192,STAND SIGNED TRANSIT STOP,60,0007,NR,824 DUNDAS ST W,,,ON
***97052,20100101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0007,NR,5140 YONGE ST,,,ON
***57595,20100101,29,PARK PROHIBITED TIME NO PERMIT,30,0008,NR,30 PHOEBE ST,,,ON
***68101,20100101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0008,NR,832 DUNDAS ST W,,,ON
***97053,20100101,8,STAND VEH-HWY-PROH TIME/DAYS,60,0008,NR,5140 YONGE ST,,,ON
